Nr;Naam;Brouwerij;Kleur;alcohol
710;1664 Kronenbourg ;Alken-Maes;Blond;5
747;Aardmonnik ;De Struise Brouwers;Bruin;8
1;Aarschotse Bruine ;De Biertoren;Bruin;4
737;Abbaye d'Orval ;Brasserie d'Orval;G‚‚n gegevens;3.5
2;Abbaye de Bonne-Esperance ;Lefebvre;Amber;8
3;Abbaye de Brogne donker ;De Smedt;;6,7
4;Abbaye de Cambron ;Brasserie de Silly;Amber;6,5
5;Abbaye De Gembloux ;Lefebvre;Amber;8
7;Abbaye de la Moinette brune ;Dupont;;7,5
6;Abbaye de la Moinette brunee ;Dupont;;8,5
8;Abbaye de la Moinette-Special Nouvel An ;Dupont;Amber;8,5
9;Abbaye des Rocs ;Eloir-Bertiau;Amber;9,25
10;Abbaye des Rocs Special ;Eloir-Bertiau;;9,5
12;Abdij van Leffe bruin ;St. Guibert;Bruin;6,3
11;Abdij van Leffe brune ;St. Guibert;Amber;6,3
13;Abdij van Leffe radieuse ;St. Guibert;Donkerbruin;8,6
14;Abdij van Leffe trippel ;St. Guibert;Blond;7,1
15;Abdij van Leffe vieille cuv‚e ;St. Guibert;Bruin;7,8
679;Abdij van t'Park ;Alken-Maes;Bruin;6,5
16;Abdijbier Affligem blonde ;De Smedt;Blond;6,9
17;Abdijbier Affligem fonc‚e ;De Smedt;Donker;6,9
18;Abdijbier Affligem trippel ;De Smedt;Amber;9,6
19;Abdijbier Sint-Idesbald brune ;Amberd;Bruin;6,25
20;Abdijbier Sint-Idesbald pale ;Amberd;Blond;6,25
21;Abdijbier Sint-Idesbald trippel ;Amberd;Bruin;8
22;Adler ;Haacht;Goudgeel;6,7
23;Aerts 1900 ;Palm;Amber-roodachtig;6
24;Affligem rood ;De Smedt;;6,7
25;Akila Export ;Louwaege;;4,6
26;Akila Pils ;Louwaege;Blond;5
27;Alexander ;Rodenbach;;6,5
28;Alfri ;Roman;;0,5
29;Ambiorix ;Slaghmuylder;;8
30;Anglo pils ;Alken-Maes;Blond;5
31;Antiek ;Isebaert;Amber;7,75
32;Antiek ;Vieille Villers;;8
33;Antigoon ;Isebaert;;8
34;Arabier ;De Dolle Brouwers;Blond fonc‚;8
35;Ardennaise ;Poncelet;;
36;Artevelde ;Huyghe;Amber;6,5
37;Artevelde Grand Cru ;Huyghe;;6,9
38;Augustijn ;Bios;Amber;8
39;Averechtsen Saison ;Strubbe;;
40;Bacchus ;Van Honsebrouck;Donkerbruin;5,2
702;Barbar winter bock ;Lefebvre;Bruin;8
41;Bass-Old Barley Stout ;Piedboeuf;Donker;5,4
42;Bass-Pale Ale ;Piedboeuf;Goudgeel;5,2
43;Bavaro ;Haacht;;3,4
44;Bel Pils ;Moortgat;;5,3
45;Bergenbier ;Artois;;5,7
46;Bergenbier ;Dendria;Blond;5,1
47;Beyerd ;Sterkens;;6,5
48;Bier v/h Kasteel Ramegnies-Chin ;Facon;;12
49;BiŠre Darbyste ;Brasserie de Blaugies;Witbier;5,8
50;Biere de l'Abbaye d'Aulne 10ø ;De Smedt;Donker;10
51;BiŠre de l'Abbaye d'Aulne 6ø ;De Smedt;Goudgeel;6
52;Biere de l'Abbaye d'Aulne 8ø ;De Smedt;Donker;8
53;BiŠre de Pƒques ;La Binchoise;;7
708;Binchoise BiŠre des ours ;La Binchoise;Blond;8,4
704;Binchoise Blonde Tradition ;La Binchoise;Witbier;6,2
705;Binchoise Brune Tradition ;La Binchoise;Bruin;8,2
707;Binchoise Flora ;La Binchoise;Amber;7
706;Binchoise Rose des Remparts ;La Binchoise;Rood;4,5
703;Binchoise Sp‚ciale No‰l ;La Binchoise;Amber;9
54;Bink ;Kerkom;;5,5
55;Bios Vlaamse Bourgogne ;Bios;Donker;5,75
56;Biss ;Brasserie a Vapeur;Bruin;7,5
683;Blanche de Charleroi ;Val de Sambre;Witbier;5
57;Blanche de Namur ;Brasserie du Bocq;;4,5
58;Blanche des Honelles ;Eloir-Bertiau;;6,2
59;Blanche des Neiges ;Huyghe;;
60;Bleek ;Riva;;1,5
61;Bleek ;Roman;;1,2
62;Block Export ;De Block-Joostens;Blond;5
63;Block Pils ;De Block-Joostens;Blond;5
64;Blond ;De Biertoren;Bruin;1
65;Blond ;Het Sas/Leroy;;1,8
66;Blond ;Huyghe;;
67;Blond ;Lefebvre;;1,5
68;Blonde ;Devaux;;0,8
69;Blonde ;Haacht;;1,4
70;Blonde Alken ;Alken-Maes;Blond;1,4
71;Bocholter Kwikpils Premiumbier ;Martens;Blond;5
72;Bocholter pils ;Martens;Blond;5
73;Bock pils ;Palm;Bruin;4,8
74;Bockor export ;Bockor (Vanderghinste);Blond;5
75;Bockor pils ;Bockor (Vanderghinste);Blond;5,4
76;Bokkereyer ;Sint-Jozef;Donkerbruin;6
77;Bokrijks Kruikenbier ;Sterkens;;7,2
78;Bornem Dubbel ;Bios;Donker;8
79;Bornem Trippel ;Bios;Helder;9
80;Bosbier ;Sint-Jozef;;5
81;Boskeun ;De Dolle Brouwers;Amber;8
82;Bourgogne des Flandres ;Timmermans;Bruin;5
83;Bourgogne des Flandres ;Verhaeghe;Donker;6,2
84;Brewmaster Pale Ale ;Martinas;;4,5
85;Brigand ;Van Honsebrouck;Amber;9
86;Brug-ale Belge ;Brasserie de Silly;Amber;4,8
87;Brugs tarwebier ;De Gouden Boom;Witbier;5,4
88;Brugse Tripel ;De Gouden Boom;;9,5
711;Brugse Zot ;De halve maan;Blond;6
89;Bruin ;Callewaert;;
90;Bruin ;Het Sas/Leroy;;1,8
91;Bruin ;Huyghe;;
92;Bruin ;Lefebvre;;1,5
93;Bruin ;Riva;;1,5
94;Bruin ;Roman;;1,2
95;Bruin ;Sint-Jozef;;
96;Brune ;Devaux;;0,8
97;Brunehaut 8 ;Allard & Groetembril;Bruin;8
98;Bruno ;De Biertoren;Bruin;0,8
99;Bruocsella Grand Cru Lambiek ;Cantillon;;5
100;Buffalo ;Van Den Bossche;Donker;5,1
101;Bugel Doppelbock ;Domus;;8
102;Bugg's ;Bosteels;;2,6
103;Bush Beer ;Dubuisson;Amber;9,75
104;Cambrinus ;Verhaeghe;Amber;4,5
105;Campbell s Christmas ;Martinas;;7,5
106;Campbell s Scotch ;Martinas;;6,8
107;Campus ;De Biertoren;;7
108;Campus Gold ;De Biertoren;;6
109;Cassis ;Lindemans;;
110;Cassis bier ;Timmermans;;4
739;Caulier blonde ;Caulier Developpement SA;Blond;6,8
740;Caulier Brune ;Caulier Developpement SA;Bruin;6,8
741;Caulier Extra ;Caulier Developpement SA;Blond;4
111;Caves ;Verhaeghe;Amber;5,35
112;Cervesia ;Dupont;;8,5
113;Cezarken ;Cromb‚;;5,5
114;Chapeau Faro ;De Troch;;4,75
115;Chapeau Framboise ;De Troch;;3
116;Chapeau Mirabelle ;De Troch;;3
117;Chapeau Pˆche ;De Troch;Blond;3,5
118;Chapeau Tropical ;De Troch;;3
119;Charles Quint ;Haacht;Donker;6,3
120;Chimay-Bouchon Liege ;Abbaye de Scourmont;Amber;7
121;Chimay-Capsule Blanche ;La Trappe (schaapskooi);Helder;8
122;Chimay-Capsule Rouge ;Abbaye de Scourmont;Amber;7
123;Christmas ;Riva;Donker;7,5
124;Christmas beer ;Cromb‚;;6,5
125;Christmas Bell ;Roman;Bruin;7,2
126;Christmas De Ryck ;De Ryck;Amber;5,5
127;Christmas De Smedt ;De Smedt;;7,5
128;Christmas/Old Musketeer ;Het Sas/Leroy;Donker;8
129;Ciney Blond ;Alken-Maes;Blond;7
130;Ciney Bruin ;Alken-Maes;Bruin;7
131;Ciney Speciaal ;Alken-Maes;;8,5
132;Cleopaterken ;Cromb‚;;5,6
709;Clipper's Barley Pale Ale ;Isebaert;Goudgeel;? 
133;Contra Pils ;Contreras;Blond;5
134;Cornel Bier ;Slaghmuylder;Amber;4,8
135;Corsendonck Agnus ;Brasserie du Bocq;Blond;8,1
136;Corsendonck Agnus ;Corsendonck;Blond;7,5
137;Corsendonck Pater ;Bios;;6,4
138;Corsendonck Pater ;Corsendonck;Donkerbruin;7,5
139;Couckelaerschen Doedel ;Strubbe;;6
140;Courtois ;De Biertoren;;1,2
141;Cristal Alken ;Alken-Maes;Blond;5
142;Crom-Pils ;Cromb‚;Blond;4,5
143;Cupido ;Bosteels;Amber;4,8
144;Cuv‚e Bosqu‚tia ;Brasserie du Bocq;;8,8
145;Cuv‚e De L Ermitage ;Alken-Maes;Amber;7,8
147;Cuv‚e de la Thyria brune ;Huyghe;;7
146;Cuv‚e de la Thyria brunee ;Huyghe;;7
149;Cuv‚e de Namur brune ;Huyghe;;7
148;Cuv‚e de Namur brunee ;Huyghe;;7
738;Cuv‚e des Trolls ;Dubuisson;Blond;7
150;Cuv‚e St. Amand ;Bavik;Donkergold;7,5
151;De Brouwers van de Dijle ;Piedboeuf;Bruin;5
152;De Koninck ;De Koninck;Bruin;5
153;De Verboden Vrucht ;De Kluis;Donkerrood;8
154;Deca ;Isebaert;Blond;4,5
155;Delbeccha ;Delbeccha;;8
156;Delirium Tremens ;Huyghe;;9
678;Den Oostendsche Baron ;Proefbrouwerij;Blond;6,5
157;Dentergems Witbier ;Riva;Blond;5
158;Deugniet ;Brasserie du Bocq;Blond;7,3
159;Dikke Mathilde ;Strubbe;;6
160;Dikkenek ;De Smedt;;6
161;Dinner Blond ;Bavik;;
162;Dinner Faro ;Bavik;;
163;Dobbel Faro ;Vander Linden;Donkerbruin;6
164;Dobbelen Bruinen ;Roman;Bruin;7,2
165;Dobbelken ;Strubbe;;4,25
166;Domein Bleek ;Bios;Blond;
167;Domein Donker ;Bios;Donkerbruin;
168;Domus ;Domus;;5,1
169;Dorppils ;R. van Roy en Cie.;Geel;4
170;Dorpsbier ;R. van Roy en Cie.;Lichtbruin;2
171;Dort Silbrau ;Brasserie de Silly;Blond;5,7
172;Double Blonde ;Brasserie Gigi;;1,2
173;Double Engien Sp‚ciale ;Brasserie de Silly;Amber;8
174;Double Floreffe ;Lefebvre;Donker;6
175;Doublette ;Brasserie de Silly;Amber;6,5
176;Drink Center Sharpe ;Huyghe;;4,6
177;Dubbel Blond ;Bockor (Vanderghinste);;1
178;Dubbel Blond ;Louwaege;;1,4
179;Dubbel Domus Honingbier ;Domus;;7
180;Dubbel Gersten ;De Es;;
181;Dubbel Palm ;Palm;Donker amber;4,8
182;Dubbel Wit ;De Kroon;Witbier;5
183;Duivel ;Vander Linden;Donkerbruin;6
184;Duivelsbier ;Vander Linden;;6
185;Duo ;De Koninck;;2,5
186;Dupont Pils ;Dupont;;6,2
187;Duvel 7 ;Moortgat;Blond;7
188;Duvel 8 ;Moortgat;Blond;8
189;Echte Kriek ;Verhaeghe;Roodachtig;6,2
190;Edel Brau ;Strubbe;;0,3
191;Egmont Zottegemse Tripel ;Cromb‚;;7
192;Elckerlijc ;Callewaert;Bruin;6,5
193;Ename Dubbel ;Roman;;6,5
194;Ename Tripel ;Roman;;9
195;Esenaar ;De Dolle Brouwers;;6
196;Etoile ;Dupont;;
197;Eupener Caramel ;Eupener Bierbrauerei;;1,5
198;Eupener Export ;Eupener Bierbrauerie;Blond;3,5
199;Eupener Extra Light ;Eupener Bierbrauerei;;
200;Eupener Kapuziner Klosterbier ;Eupener Bierbrauerie;Donker;5
201;Eupener Pils ;Eupener Bierbrauerie;Blond;4
202;Export ;Alken-Maes;Blond;5
203;Export ;Bavik;;5
204;Export ;Huyghe;;4,2
205;Export ;R. van Roy en Cie.;Goudgeel;4
206;Export ;Verhaeghe;Blond;4,5
207;Export Artois ;Artois;Blond;5,5
208;Extra ;Huyghe;;
209;Extra Bruin ;Verlinden;Bruin;0,8
210;Extra Gueuze ;Eylenbosch;Goudgeel;5
211;Extra Pilsener ;Moortgat;Blond;5,5
212;Extra Stout ;Callewaert;;4,7
213;Extra Tafelbier ;Walrave;;4,8
214;Extra Vieille ;Allard & Groetembril;Amber;6
215;Eylenbosch Framboos Cuv‚e Speciale ;Eylenbosch;;5
216;Facon Export ;Facon;Blond;4
217;Facon Extra Stout ;Facon;Bruin;7,5
218;Facon Pils ;Facon;Blond;5
219;Facon Scotch-Christmas ;Facon;Amber;7,5
220;Fakir ;La Binchoise;;6,8
221;Fancy low alcohol ;Bavik;;1,5
222;Fant“me ;Fant“me;;8
223;Fant“me de No‰l ;Fant“me;;
224;Faro ;Bockor (Vanderghinste);;1
225;Faro ;Cantillon;;5
226;Faro ;Huyghe;;
227;Faro ;Lindemans;Bruin;5
228;Faro ;Louwaege;;1,4
229;Faro ;R. van Roy en Cie.;Roodachtig-bruin;4,3
230;Faro ;Vander Linden;;4
231;Faro Alken ;Alken-Maes;;1,3
232;Faro Extra ;Eylenbosch;Bruin;5
233;Faro Pertotale ;Frank Boon;Amber;6,5
234;Felix Kriek Oud Bruin ;Clarysse;;6
235;Felix Kriekbier ;Clarysse;Roodachtig-bruin;5,2
236;Felix oud bruin ;Clarysse;Bruin;5,2
237;Felix speciaal oudenaards ;Clarysse;Bruin;4,6
238;Festival Gueuze ;Eylenbosch;Goudgeel;5
239;Fitt ;R. van Roy en cie;;1,5
240;Flandrien ;Louwaege;;5
241;Floreffe brunee ;Lefebvre;;7
242;Fonc‚e ;Poncelet;;
243;Fonske ;Domus;;5
244;Forst ;Wielemans-Cueppens;Blond;4,75
245;Framboise ;Lindemans;Roze-roodachtig;6
246;Framboise ;Lindemans;;
247;Framboise Belle-Vue ;Belle-Vue;Roodachtig;4,2
248;Framboise Cantillon ;Cantillon;Roze;5
249;Framboise Jacobins ;Bockor (Vanderghinste);;5,5
250;Framboos Lambic ;Timmermans;;4
251;Frambozen F. Boon ;Frank Boon;Roze;6,5
252;Frambozenbier ;De Neve;;5,3
253;Frambozenbier ;Vander Linden;Roodachtig;7
254;Frambozenbier St. Louis ;Van Honsebrouck;Lichtroodachtig;5,5
255;Frater Ambrosius ;Eylenbosch;Roze roodachtig;5
692;Gauloise ambr‚e ;Brasserie du Bocq;Amber;5,5
691;Gauloise blonde ;Brasserie du Bocq;Blond;6,3
693;Gauloise brune ;Brasserie du Bocq;Bruin;8,1
256;Gaumaise ;Brasserie Gigi;;5
257;Gersten ;De Es;;
258;Geuze ;Vandervelden;;6
259;Geuze F. Boon-Mariage Parfait ;Frank Boon;Goudgeel;6,5
260;Gildenbier ;Haacht;Donker;6,7
261;Ginder-Ale ;Martinas;Amber;4,7
262;Golden Campina ;Campina;Blond;5
263;Golden Hop ;Bavik;;5
264;Golden Kenia ;Huyghe;Blond;5
265;Gouden Carolus ;Het Anker;Amber;7,5
266;Grand Cru Hoegaarden Tripel ;De Kluis;Goudgeel;7,5
267;Grimbergen Blond ;Alken-Maes;Blond;7
268;Grimbergen dubbel ;Alken-Maes;Donker;6,5
269;Grimbergen Optimo Bruno ;Alken-Maes;Bruin;10
270;Grimbergen trippel ;Alken-Maes;Goudgeel;8,6
271;Grisette ;Friart;;5,4
698;Grisette ambr‚e ;Saint Feuillen;Amber;5
696;Grisette blanche ;Brasserie du Bocq;Witbier;5
697;Grisette blonde ;Saint Feuillen;Blond;4,5
699;Grisette Fruits des Bois ;Saint Feuillen;Roodachtig;3,5
272;Gueuze ;Lindemans;Goudgeel;5
273;Gueuze ;Wets;Goudgeel;5,5
274;Gueuze Becasse ;Brabrux;Goudgeel;4,15
275;Gueuze Belle-vue ;Belle-vue;Goudgeel;4,15
276;Gueuze Belle-vue cuvee ;Belle-vue;Goudgeel;4,15
277;Gueuze Cantillon ;Cantillon;Goudgeel;5
278;Gueuze Caveau ;Timmermans;Goudgeel;5,5
279;Gueuze Caves Bruegel ;Brabrux;Goudgeel;4,15
280;Gueuze De Neve ;De Neve;Goudgeel;4,15
281;Gueuze De Troch ;De Troch;Goudgeel;5,75
282;Gueuze Extra Cave St. Pierre ;Brabrux;Goudgeel;4,15
283;Gueuze Girardin ;Girardin;Goudgeel;5,1
284;Gueuze Lambic ;Timmermans;Goudgeel;5,5
285;Gueuze Lambic Jacobins ;Bockor (Vanderghinste);Goudgeel;6
286;Gueuze Lambic Mort Subit ;De Keersmaeker;Goudgeel;5
287;Gueuze Lambic St.-Louis ;Van Honsebrouck;Amber-bruin;5
288;Gueuze Vieux Foudre ;Vander Linden;Goudgeel;6
289;Gulden draak ;Bios;Donker;12
290;Haechts Witbier ;Haacht;Witbier;4,8
291;Hapkin ;Louwaege;Blond;8,5
292;Helles Lagerbier ;Slaghmuylder;Blond;4,2
293;Het Kapittel-abt ;Van Eecke;Blond;10
294;Het Kapittel-dubbel ;Van Eecke;Bruin;6
295;Het Kapittel-pater ;Van Eecke;Bruin;5
296;Het Kapittel-prior ;Van Eecke;Bruin;7
297;Hoegaarden ;De Kluis;Helder;5
298;Horse-ale ;Piedboeuf;Amber;4,9
299;Houten Kop ;Strubbe;;6,5
300;Ichtegem s oud bruin ;Strubbe;Bruin;4,4
301;Jack-Op ;De Neve;;5
302;Jack-op Ernest Claes ;Brabrux;Amber;3,7
303;John Martin s Special ;Palm;;6
304;John Smith s Pale Ale ;Roman;;5,6
305;John Smith s Scotch Ale ;Roman;;6,5
306;Judas ;Alken-Maes;Blond;8,5
307;Julius ;De Kluis;;8,7
308;Jupiler ;Piedboeuf;Blond;5
309;Jupiler N.A. ;Piedboeuf;Blond;0,5
310;Kastaar ;De Block-Joostens;Lichtbruin;7
311;Kasteelbier Ingelmunster ;Van Honsebrouck;Bruin;11
712;Keirersberg ;Van Steenberge;Blond;9
312;Kerelsbier donker ;Het Sas/Leroy;;6,4
313;Kerelsbier licht ;Het Sas/Leroy;;6,4
314;Kerstbier ;Slaghmuylder;Blond;5,2
315;Kerstbier ;Van Den Bossche;Bruin;5,2
316;Kerstbier ;Verhaeghe;;6,5
317;Ketje ;Artois;Blond;6,4
318;Kir-Royal St.-Louis ;Van Honsebrouck;;5
319;Kob Pilsener ;De Keersmaeker;Blond;4,75
320;Koningsbrau ;Dendria;Blond;5,1
321;Kortrijk 800 ;Bockor (Vanderghinste);;6,9
322;Kriek ;Lindemans;Roodachtig;5,5
323;Kriek ;R. van Roy en Cie.;Roodachtig;4,3
324;Kriek ;Vander Linden;Roodachtig;6,5
325;Kriek ;Wets;Roodachtig;6
326;Kriek Belle-Vue ;Belle-Vue;Roodachtig;4,2
327;Kriek Belle-Vue Cuvee ;Belle-Vue;Roodachtig;4,2
328;Kriek Cantillon ;Cantillon;Roodachtig;5
329;Kriek Caves Bruegel ;Brabrux;Roodachtig;4,2
330;Kriek De Neve ;De Neve;Roodachtig;4,2
331;Kriek De Troch ;De Troch;Roodachtig;5,75
332;Kriek F. Boon ;Frank Boon;Roodachtig;6,5
